ablation,algorithm,hit1,hit3,hit5,recall1,recall3,recall5,avg5,mrr,map,ndcg5,chance_avg5,lift_avg5,candidate_recall,evidence_coverage,mrr_seed_std,latency_p95_ms
metric_log,ml_pca,0.6,1.0,1.0,0.5666666666666667,1.0,1.0,0.9133333333333334,0.8000000000000002,0.8000000000000002,0.8523719014285831,0.375,0.5383333333333333,1.0,1.0,1.1102230246251565e-16,0.16002499981671756
metric_log,dl_mlp,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.16743833349816348
metric_log,dl_autoencoder,0.8666666666666667,1.0,1.0,0.8333333333333334,1.0,1.0,0.9666666666666668,0.9333333333333335,0.9333333333333335,0.9507906338095277,0.375,0.5916666666666667,1.0,1.0,0.02721655269759086,0.24662999987867792
plus_change,stat_mad,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.11311499996888101
plus_change,stat_ewma,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.11000333345994774
plus_change,ml_logistic,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.1425433334285722
plus_change,ml_pca,0.6,1.0,1.0,0.5666666666666667,1.0,1.0,0.9133333333333334,0.8000000000000002,0.8000000000000002,0.8523719014285831,0.375,0.5383333333333333,1.0,1.0,1.1102230246251565e-16,0.13593000003311298
plus_change,dl_mlp,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.15888166665263256
plus_change,dl_autoencoder,0.8666666666666667,1.0,1.0,0.8333333333333334,1.0,1.0,0.9666666666666668,0.9333333333333332,0.9333333333333332,0.9507906338095277,0.375,0.5916666666666667,1.0,1.0,1.1102230246251565e-16,0.1604099999516012
full,stat_mad,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.21397833331017554
full,stat_ewma,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.19140666659798922
full,ml_logistic,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.18982499984000842
full,ml_pca,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.16046666671627452
full,dl_mlp,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.19981999997374547
full,dl_autoencoder,0.888888888888889,1.0,1.0,0.8555555555555556,1.0,1.0,0.9711111111111111,0.9444444444444443,0.9444444444444443,0.9589921948412731,0.375,0.5961111111111111,1.0,1.0,0.01571348402636772,0.18732333359518316
